#m112,m122,m222,lam1,lam2,lam3,lam4,lam5,nvev1,nvev2,cbvev1,cbvev2,cbvev3,type
-8570.69646610838,-1354.6390026838,-69900.9593680564,0.292592673002161,45.6095555789769,3.21564555988845,-0.564840121302398,-0.187196227148259,242.139074138517,-43.4127720301508,-175.879717674213,-21.744853638516,-194.514989696181,MinSad
34188.4819845818,1680.34055839843,-22.7815387335549,42.0616202599484,0.00909532549992032,0.144330188211721,0.471367404042316,0.652484925772628,13.4378394607948,245.632702363968,-11.8286161813328,-243.289842096926,15.7187896916874,SadSad
-923.248983451078,51.712595001743,-652.470321818597,0.0554390749239435,0.0372427666937994,0.0433502404173523,0.946637756407142,-0.955639941764465,173.885907200612,174.010606794587,-172.332087626326,66.52581163959,-115.976516497382,MinSad
-60495.4304949975,-402.946223165128,-5712.5472035225,17.9971224853897,0.153482460035409,1.64887753730931,0.506394020450827,-0.205715711143846,49.677582814799,-240.931811443983,22.928685390401,-116.219162674838,78.350520826387,SadMin
153.070178054103,-5.60592764340254,-74.8123049899878,0.00312345378690048,0.0155135764303435,0.00734565738445424,0.924982494644542,-0.925530044467073,96.1526837570025,226.43025726772,132.106805462943,154.556658426098,-212.66395504469,SadSad
-3886.8945527034,160.278237677151,-23809.3923235249,0.161626978535514,9.58339113835471,1.45283831747621,0.32388912321403,-0.396946516625278,245.959201886071,4.48006780829641,60.9104586939148,-76.505998900996,36.5511900376839,MinSad
-117.75022101624,-678.00016880512,3364.33117573736,0.0264006821995772,45.8188302933996,1.16275477902099,0.260203239141537,0.0545898652760396,245.013419446844,-22.0096408640553,-111.538272900793,36.4904527387158,85.6047518625423,SadMin
-10677.7823746019,-116.500225985488,-2234.4846210097,2.79735384728187,0.0877955555390314,0.583258436343017,0.519603413962774,-0.569172107196638,7.82169705590876,-245.875621107839,79.9853688136214,61.362504334175,-39.7572955625225,MinSad
-492.213874147227,-7.38513935090671,-16278.1405366501,0.0200806485052787,8.99038352640636,0.559054466949967,0.270067076524167,-0.201557271244796,245.505044825808,-15.5972101696996,-206.373040981515,1.2274091308453,-173.834249142861,SadSad
-1821.62692483813,1910.24317060267,-38461.0131392408,0.0878416528210864,72.3545516982884,3.23103035792657,-0.80747275188327,-0.62189339456631,244.089847768078,-30.5965066070718,51.9089631727732,-43.3689856694243,2.2781708256862,MinSad
