m112,m122,m222,lam1,lam2,lam3,lam4,lam5,yt,mu,nvev1,nvev2,nvev3,cbvev1,cbvev2,cbvev3
-56769.1625189425,11298.9441043711,-21800.5075577879,5.08772715231133,0.657186787219266,1.94804091410591,2.20182701539137,-0.570051230985773,1.02110482180414,246,-55.7386132154807,-239.602184874878,0,-116.453931975298,-118.024105033956,-70.3895466120192
-86263.002668183,-379.568819130303,-47429.4987413647,5.76998856368838,1.58733497703561,3.17834424047577,0.580261636127589,-0.470176643330302,0.995735675205757,246,-12.0086622710479,245.70671954682,6.60296714848856e-15,158.316553916059,-43.2281434386949,-62.9641885883731
-55107.8263371065,2739.9185776119,-35945.589088422,3.059943496413,1.1934355695738,1.98414900661069,1.47238173461644,-0.499880193606555,0.99851213591698,246,-21.8970441676007,-245.023507967546,0,-54.897484070991,-101.99323308978,-167.734396575177
-76501.5067148003,957.44392897575,-38999.8912902267,5.32020231489164,1.27886018209389,2.70037685062166,0.5543553936343,-0.267623661865213,0.999656327879348,246,24.8361778279405,244.743057656185,0,-110.803147867139,-59.894627486567,123.498632413696
-71858.9413990505,-1893.61232615176,-49061.1515594116,3.72541687635472,1.61144218387456,2.53431771009598,0.643129082160587,-0.227871802954194,1.00318016655644,246,-32.2010617116629,243.883356596225,2.52964108895958e-16,116.298099187224,-77.8420941288443,147.853308153243
-83160.3271592203,848.879206555052,-52822.7413220739,4.59960033622704,1.73548753509105,2.91807153767835,0.307433047156015,-0.0834921013699782,0.999273786541199,246,23.8948913571556,244.836750033629,0,149.968303324071,50.0807216854224,111.031394370207
-67784.3371236578,-3378.47636284688,-20653.0367601254,9.39757399324661,0.705998834852079,2.85892352273892,1.39439491804397,-0.00330173243647369,0.996783556246688,246,16.4643382953439,-245.448417319192,0,120.480040588267,-39.3815151310923,16.1587691854016
-67795.0412966126,-4092.45330280124,-47310.9939176315,3.42291334331554,1.55571422761745,2.37538116489461,0.731687207431474,0.42219905372131,1.00089226187527,246,27.6527616718216,-244.440841047321,0,-69.1924649634935,100.821543061888,-170.066516626963
-72170.5338553403,733.215452113707,-48743.8715151222,3.7478836680717,1.60404964550186,2.52500029828632,0.822793146114366,-0.66689099833128,1.0022086105097,246,-30.3567559752747,-244.119780777096,4.54600140381792e-16,-191.899152691561,-49.0427493177237,-31.926172223045
-57692.6766563455,-3535.74928146009,-46402.2547810619,2.55466345340623,1.52552753512576,2.04579160727766,0.929592558296042,-0.214526239022211,1.00616871999728,246,-37.2789070183761,243.158966710083,0,124.860337998224,-78.8097266166943,162.015580912334
-59941.9922628263,418.947277784057,-20517.3913693312,7.44432746212038,0.680943453082534,2.51049759982115,0.436176576010457,0.298234142548286,0.994648647730863,246,-3.48971591261335,-245.975246483969,0,39.6380390774214,28.8766493486646,-123.371924807369
-73870.3851082521,-762.586997699073,-53484.3813329646,3.62311988667611,1.77024120264487,2.61954876538527,0.969517206390279,-0.820807371980272,1.0008141168959,246,-27.4835210295414,244.459927333334,0,185.594904717569,-55.1730919032155,-71.5741365345812
-76227.8312375302,290.691164083746,-30157.3896335846,7.11948179287386,0.99606868258786,2.80208320854735,0.606798705188433,-0.53500901651059,0.997054503058718,246,-17.4302258000511,-245.38171738856,0,-122.898966213547,-66.8999003513565,-71.711257941696
-61932.3671934758,-120.16500379808,-29505.9550171431,4.77434843770429,0.977664969945574,2.24217952101126,0.981831016519157,-0.685758873492678,0.994626319264596,246,3.07596714789279,-245.980768407014,5.07134846299671e-15,6.51571894008979,-125.968106356721,141.080989612102
