m112             ,m122             ,m222             ,lam1             ,lam2             ,lam3            ,lam4             ,lam5              ,yt               ,mu ,nvev1            ,nvev2            ,nvev3                ,cbvev1           ,cbvev2           ,cbvev3
-68565.417571077 ,212.879551931601 ,-25472.8371733382,6.82033686923365 ,0.84217650859847 ,2.52068856888243,0.795114747809148,-0.640248307167735,0.995310366281959,246,9.62297558376271 ,245.811713189006 ,0                    ,-83.4733492945863,-33.0867840455723,116.283964204508
-71796.9399585924,15349.2950470427 ,-19890.4395875154,8.80366008885632 ,0.609849373856666,2.4463533931562 ,2.49357236482929 ,0.409117866515633 ,1.00976199528439 ,246,42.5414421220614 ,242.293676562504 ,0                    ,-95.4517034457248,-106.393910186857,-70.9092173904385
-33139.1474111545,-11916.0556352278,-46619.7773302915,0.844547585518037,1.56417455585623 ,1.17425614197188,2.4942341409232  ,-0.730471565465447,1.02082811622525 ,246,55.4586883724224 ,-239.667131421918,-2.28281692098832e-16,144.434959678524 ,-92.7333364603654,-222.443521860929
-79647.9652260663,-10935.9596733177,-46959.9047716612,4.66276549410099 ,1.55669999701375 ,2.75192169795235,3.3123172692431  ,-0.67176498677171 ,1.00332445365813 ,246,32.4655880042638 ,-243.848283970869,0                    ,61.1920848820428 ,-128.004420186592,-149.063180570237
-85617.5139760076,3874.90419366671 ,-66856.1157907473,3.75613161640466 ,2.21157693022935 ,2.92277814900102,1.38823917454455 ,-0.47706120766279 ,1.00395933857278 ,246,33.6035101950636 ,243.694078923905 ,-3.64967040235017e-16,-80.4832927223003,-101.790998463244,-178.640829017726
-69673.2748242156,1.68873279280273 ,-22474.9651448596,8.13794116494209 ,0.74453137647088 ,2.59221938429803,0.803426822489904,-0.801367706016471,0.994550925312696,246,-0.53626879996763,-245.999415478521,0                    ,-88.1018449730761,-77.6654745434219,-91.2673656554661
-40582.8925103406,16474.5201760849 ,-44335.4925518125,1.3176770504168  ,1.47582765611649 ,1.42947729328408,2.5848280358092  ,-0.202671431554645,1.02164243806677 ,246,-56.2778615733483,-239.476099635707,-6.36134815611178e-16,220.293645329446 ,61.5312935553483 ,111.098673457647
-60201.7912751023,-13027.2077181862,-54689.6967363016,2.31902534559361 ,1.81308120506306 ,2.06892535137804,2.12494786811943 ,0.100535900942252 ,1.01311257629397 ,246,46.8768642021318 ,-241.492359304751,0                    ,-52.3452745356094,216.247624100735 ,-98.6457150337449
-69114.4178602259,12708.4401681095 ,-35870.8586278732,4.5428486228483  ,1.15253551066491 ,2.36456970346354,2.80038167469783 ,-0.692131422106195,1.01463048013065 ,246,-48.7011387926152,-241.131082775121,3.72246328663555e-14 ,-135.109322941384,-86.1803650836151,98.5585461479909
-88349.572223258 ,2275.52261767827 ,-41719.0205170393,6.60807424610369 ,1.39385871429755 ,3.13147377754473,0.819431540476689,0.42189775607776  ,0.996302696056107,246,14.5913199094784 ,245.56688169071  ,0                    ,-107.680649026831,-32.6787580602597,-121.205505647124
-49546.0017355765,-1713.57171725137,-25270.4984606157,3.48469569043566 ,0.844082855099642,1.79744489395655,3.1193221612539  ,-0.821146752628555,0.994840190404998,246,5.95602358577596 ,-245.927887363442,0                    ,71.5110835795456 ,-20.4078723774154,159.287675692313
