m112,m122,m222,lam1,lam2,lam3,lam4,lam5,nvev1,nvev2,nvev3,cbvev1,cbvev2,cbvev3
-132.805367760261,12.5903219698913,-3636.27246708322,0.00537083526982842,8.01911925070497,0.187479619988514,0.0451473250138676,-0.0379010622512611,245.945093279602,5.19721961129866,0,-102.305690431755,-37.8826501603835,-97.0442983473847
-8595.10633118402,4125.16916724761,-134801.444497554,0.291962677958818,55.8688282574989,4.53305881085814,1.67362848286215,-0.652298837416497,-56.9335125759702,-59.7130060729194,7.48075095678373e-16,138.040987445046,48.6431549136837,146.102486389877
-7724.88715065053,-623.667730646683,-48393.4532609311,0.148355247954036,6.25838655567452,0.970293038243421,0.208789804668363,-0.133289514370716,309.04732496091,-48.4254792658763,1.21998777497617e-12,-147.511444514714,114.852947446246,-42.9182953842912
-62933.5365569609,51.037365994528,-15237.5437929518,5.57798033650512,0.314681926826957,1.33816569006739,0.335651839113913,-0.313449269605183,-9.56154397738292,-318.261386704702,2.77914191940354e-15,55.8501879678009,82.9384788308228,136.842268766054
-65895.36330824,-59.0177587801081,-14124.5864075925,6.65149192648246,0.289642315650686,1.40859926060324,0.0308260670431837,-0.011531979506193,10.7169726585708,-317.032876098478,-3.36449373192027e-14,-140.621421008225,43.8942545210141,-17.7461769843688
-1214.37145083751,61.1353695475844,-20666.9465375773,0.0272450818461054,6.01731783047527,0.396731450309734,0.876617972959299,-0.864148490780558,-35.1654078029574,-91.2292765596386,-9.12205373174356e-13,177.984396082096,58.7030939354369,211.377744342629
-10074.0607509148,-1894.81005042738,-37208.2595753792,0.35070705805222,4.99220630747981,1.32123145256458,0.784599406878157,-0.235463072160897,-244.242127413034,29.3561441057139,-2.66505529402498e-15,56.8152568965909,-124.181361034403,21.0541238230306
759.592449478172,0.0355951773474178,-1599.53229250861,0.098758547227341,1.02984841052558,-0.304975606790753,0.73979735892116,-0.739713624357711,0.0118628210357483,58.9489055690268,1.64128881624e-13,6.36911933499832,133.061922881943,209.341434005041
-457.454416915307,207.691164953801,-11620.8858410759,0.0314542902252121,9.90487965309766,0.48123185093214,1.11134744593823,-0.978664417001356,-45.5205315367057,-62.3567021522154,-6.91193106738789e-17,61.4105180391798,54.4152848635401,143.773987917661
-5200.21782030894,-24.8062866938004,3304.8014851393,0.673564541053046,0.186187112600362,-0.35071261682573,0.845492439083407,-0.842046584165244,-128.818307950333,13.8373267425836,0,70.4781201745499,-203.017766479395,184.198158767495
-29677.7237328279,-25.3554278324684,-73211.3929000763,4.47420400329047,27.9304155261801,11.5636398221756,0.552179045010221,-0.536857877541671,-3.85118585628699,75.9475431536196,0,81.8418930908259,-38.2656469069281,-85.067058804408
420.904230303472,-159.351390200554,-6028.09772817881,0.00611091942285045,4.97858758003214,-0.138797987984011,0.72159849687354,-0.689168373496393,62.5588004752262,-60.7562222785902,0,131.155121474559,-77.2757435943294,223.335480649515
-2321.31746362068,-7193.55497564608,-48520.7943168553,0.069250050645082,30.6373191187857,1.4819524187454,2.397083566201,-0.212632967563245,297.192373200409,-21.1535474893313,4.8542681678464e-13,-245.84538433052,25.3180103280974,-159.452661851991
