t,veff,vtree
-0.2,-600274478.334085,-626994554.562343
-0.192964824120603,-602008309.515013,-628531546.481369
-0.185929648241206,-603665216.202834,-629989381.511499
-0.178894472361809,-605247093.022014,-631369938.308861
-0.171859296482412,-606755813.845207,-632675076.512275
-0.164824120603015,-608193231.845362,-633906636.743255
-0.157788944723618,-609561179.551602,-635066440.606008
-0.150753768844221,-610861468.909555,-636156290.687434
-0.143718592964824,-612095891.346853,-637177970.557127
-0.136683417085427,-613266217.844768,-638133244.767372
-0.12964824120603,-614374199.017148,-639023858.85315
-0.122613065326633,-615421565.198099,-639851539.332134
-0.115577889447236,-616410026.540269,-640617993.704689
-0.108542713567839,-617341273.126082,-641324910.453876
-0.101507537688442,-618216975.094969,-641973959.045447
-0.0944723618090453,-619038782.790585,-642566789.927847
-0.0874371859296483,-619808326.933329,-643105034.532216
-0.0804020100502513,-620527218.825354,-643590305.272386
-0.0733668341708543,-621197050.597991,-644024195.544882
-0.0663316582914573,-621819395.515599,-644408279.728923
-0.0592964824120603,-622395808.356073,-644744113.186421
-0.0522613065326633,-622927825.898229,-645033232.261981
-0.0452261306532664,-623416967.562629,-645277154.282902
-0.0381909547738694,-623864736.280824,-645477377.559173
-0.0311557788944724,-624272619.720006,-645635381.383481
-0.0241206030150754,-624642092.092463,-645752626.031203
-0.0170854271356784,-624974617.000344,-645830552.76041
-0.0100502512562814,-625271652.306796,-645870583.811867
-0.00301507537688445,-625534659.607988,-645874122.409031
0.00402010050251253,-625765127.142794,-645842552.758053
0.0110552763819095,-625964672.353776,-645777240.047776
0.0180904522613065,-626135063.244568,-645679530.449738
0.0251256281407035,-626276994.853333,-645550751.118169
0.0321608040201005,-626391403.8111,-645392210.189994
0.0391959798994975,-626479365.437176,-645205196.784827
0.0462311557788944,-626541997.876143,-644990981.00498
0.0532663316582914,-626580441.427832,-644750813.935455
0.0603015075376884,-626595856.851909,-644485927.643949
0.0673366834170854,-626589452.126463,-644197535.180852
0.0743718592964824,-626562546.563889,-643886830.579246
0.0814070351758794,-626516034.924838,-643554988.854907
0.0884422110552763,-626450947.99538,-643203166.006305
0.0954773869346733,-626368213.544428,-642832499.014602
0.10251256281407,-626268658.688287,-642444105.843653
0.109547738693467,-626153191.146352,-642039085.440008
0.116582914572864,-626022733.085937,-641618517.732908
0.123618090452261,-625878207.319287,-641183463.634289
0.130653266331658,-625720531.436947,-640734965.038779
0.137688442211055,-625550614.561609,-640274044.823699
0.144723618090452,-625369355.295456,-639801706.849065
0.151758793969849,-625177640.310588,-639318935.957585
0.158793969849246,-624976343.325026,-638826697.97466
0.165829145728643,-624766324.32787,-638325939.708384
0.17286432160804,-624548428.974665,-637817588.949545
0.179899497487437,-624323488.104155,-637302554.471624
0.186934673366834,-624092317.344645,-636781726.030796
0.193969849246231,-623855716.788378,-636255974.365926
0.201005025125628,-623614470.718772,-635726151.198577
0.208040201005025,-623369347.379542,-635193089.233002
0.215075376884422,-623121098.77759,-634657602.156147
0.222110552763819,-622870460.51351,-634120484.637653
0.229145728643216,-622618151.634965,-633582512.329853
0.236180904522613,-622364874.509225,-633044441.867773
0.24321608040201,-622111314.711912,-632507010.869134
0.250251256281407,-621858140.929582,-631970937.934349
0.257286432160804,-621606004.874199,-631436922.646523
0.264321608040201,-621355541.207919,-630905645.571456
0.271356783919598,-621107367.476853,-630377768.257641
0.278391959798995,-620862084.052705,-629853933.236263
0.285427135678392,-620620274.08135,-629334764.021202
0.292462311557789,-620382503.437545,-628820865.109029
0.299497487437186,-620149320.685096,-628312821.979011
0.306532663316583,-619921257.041894,-627811201.093105
0.31356783919598,-619698826.349299,-627316549.895963
0.320603015075377,-619482525.04543,-626829396.814932
0.327638190954774,-619272832.141959,-626350251.260048
0.334673366834171,-619070209.204081,-625879603.624043
0.341708542713568,-618875100.33333,-625417925.282342
0.348743718592965,-618687932.152978,-624965668.593064
0.355778894472362,-618509113.795769,-624523266.897018
0.362814070351759,-618339036.893772,-624091134.517709
0.369849246231156,-618178075.570139,-623669666.761335
0.376884422110553,-618026586.43261,-623259239.916787
0.38391959798995,-617884908.568576,-622860211.255648
0.390954773869347,-617753363.541574,-622472919.032196
0.397989949748744,-617632255.389055,-622097682.4834
0.405025125628141,-617521870.621323,-621734801.828925
0.412060301507538,-617422478.221513,-621384558.271127
0.419095477386935,-617334329.646504,-621047213.995056
0.426130653266332,-617257658.828691,-620723012.168455
0.433165829145729,-617192682.178491,-620412176.941761
0.440201005025126,-617139598.58754,-620114913.448104
0.447236180904522,-617098589.432476,-619831407.803305
0.45427135678392,-617069818.57926,-619561827.105881
