t,veff,vtree
-0.2,-1044048092.85135,-1036965363.35703
-0.192964824120603,-1050604567.03884,-1043447625.01718
-0.185929648241206,-1056832228.52896,-1049614310.00173
-0.178894472361809,-1062739716.47869,-1055472930.24804
-0.171859296482412,-1068335564.72496,-1061030921.4203
-0.164824120603015,-1073628202.14495,-1066295642.9096
-0.157788944723618,-1078625953.03487,-1071274377.8339
-0.150753768844221,-1083337037.50987,-1075974333.03802
-0.143718592964824,-1087769571.92861,-1080402639.09367
-0.136683417085427,-1091931569.34627,-1084566350.29942
-0.12964824120603,-1095830940.00135,-1088472444.68071
-0.122613065326633,-1099475491.84214,-1092127823.98987
-0.115577889447236,-1102872931.10091,-1095539313.70609
-0.108542713567839,-1106030862.92542,-1098713663.03543
-0.101507537688442,-1108956792.08041,-1101657544.91084
-0.0944723618090453,-1111658123.73537,-1104377555.99211
-0.0874371859296483,-1114142164.35978,-1106880216.66595
-0.0804020100502513,-1116416122.75425,-1109171971.04589
-0.0733668341708543,-1118487111.2561,-1111259186.97238
-0.0663316582914573,-1120362147.17229,-1113148156.01271
-0.0592964824120603,-1122048154.5148,-1114845093.46106
-0.0522613065326633,-1123551966.14686,-1116356138.33847
-0.0452261306532664,-1124880326.50168,-1117687353.39287
-0.0381909547738694,-1126039895.12379,-1118844725.09905
-0.0311557788944724,-1127037251.43528,-1119834163.65867
-0.0241206030150754,-1127878901.41087,-1120661503.00028
-0.0170854271356784,-1128571287.40188,-1121332500.77928
-0.0100502512562814,-1129120803.56369,-1121852838.37796
-0.00301507537688445,-1129533822.36363,-1122228120.90547
0.00402010050251253,-1129816746.8012,-1122463877.19786
0.0110552763819095,-1129976141.96191,-1122565559.81801
0.0180904522613065,-1130019448.06728,-1122538545.0557
0.0251256281407035,-1129953658.60595,-1122388132.92759
0.0321608040201005,-1129781916.28083,-1122119547.17719
0.0391959798994975,-1129508527.72857,-1121737935.27489
0.0462311557788944,-1129138098.055,-1121248368.41797
0.0532663316582914,-1128675437.68616,-1120655841.53056
0.0603015075376884,-1128125852.86175,-1119965273.26368
0.0673366834170854,-1127492834.51438,-1119181505.9952
0.0743718592964824,-1126780037.38102,-1118309305.8299
0.0814070351758794,-1125991512.70036,-1117353362.59939
0.0884422110552763,-1125131402.9889,-1116318289.86218
0.0954773869346733,-1124203871.78186,-1115208624.90365
0.10251256281407,-1123213071.35732,-1114028828.73605
0.109547738693467,-1122163124.33657,-1112783286.09849
0.116582914572864,-1121058111.90361,-1111476305.45698
0.123618090452261,-1119902065.69721,-1110112119.00437
0.130653266331658,-1118698961.95434,-1108694882.66041
0.137688442211055,-1117452717.13679,-1107228676.07172
0.144723618090452,-1116167184.59089,-1105717502.61177
0.151758793969849,-1114846151.96122,-1104165289.38093
0.158793969849246,-1113493339.17821,-1102575887.20643
0.165829145728643,-1112112396.90064,-1100953070.64237
0.17286432160804,-1110706905.33544,-1099300537.96973
0.179899497487437,-1109280373.38635,-1097621911.19635
0.186934673366834,-1107836238.10702,-1095920736.05696
0.193969849246231,-1106377864.45659,-1094200482.01316
0.201005025125628,-1104908545.38083,-1092464542.25342
0.208040201005025,-1103431502.27437,-1090716233.69306
0.215075376884422,-1101949885.92882,-1088958796.97431
0.222110552763819,-1100466778.15273,-1087195396.46626
0.229145728643216,-1098985194.39585,-1085429120.26486
0.236180904522613,-1097508087.99862,-1083662980.19294
0.24321608040201,-1096038357.309,-1081899911.80021
0.250251256281407,-1094578858.42341,-1080142774.36325
0.257286432160804,-1093132430.68102,-1078394350.88551
0.264321608040201,-1091701958.64843,-1076657348.0973
0.271356783919598,-1090290612.07818,-1074934396.45583
0.278391959798995,-1088902390.88926,-1073228050.14516
0.285427135678392,-1087537535.55886,-1071540787.07624
0.292462311557789,-1086196772.36631,-1069875008.88688
0.299497487437186,-1084881464.00701,-1068233040.94177
0.306532663316583,-1083593138.56461,-1066617132.33246
0.31356783919598,-1082333384.6194,-1065029455.87739
0.320603015075377,-1081103806.08169,-1063472108.12186
0.327638190954774,-1079905997.92398,-1061947109.33806
0.334673366834171,-1078741531.37822,-1060456403.52503
0.341708542713568,-1077611944.11514,-1059001858.4087
0.348743718592965,-1076518733.32458,-1057585265.44186
0.355778894472362,-1075463350.61368,-1056208339.80418
0.362814070351759,-1074447198.11002,-1054872720.40221
0.369849246231156,-1073471625.3998,-1053579969.86936
0.376884422110553,-1072537927.06618,-1052331574.56591
0.38391959798995,-1071647340.67219,-1051128944.57904
0.390954773869347,-1070801045.08184,-1049973413.72276
0.397989949748744,-1070000159.04432,-1048866239.53799
0.405025125628141,-1069245739.98689,-1047808603.29251
0.412060301507538,-1068538782.97665,-1046801609.98096
0.419095477386935,-1067880219.82102,-1045846288.32487
0.426130653266332,-1067270918.28405,-1044943590.77265
0.433165829145729,-1066711681.4009,-1044094393.49955
0.440201005025126,-1066203246.87668,-1043299496.40772
0.447236180904522,-1065746286.55885,-1042559623.12619
0.45427135678392,-1065341405.97459,-1041875421.01082
0.461306532663317,-1064989143.92631,-1041247461.1444
0.468341708542713,-1064689972.14007,-1040676238.33654
0.475376884422111,-1064444294.96252,-1040162171.12376
0.482412060301507,-1064252449.10317,-1039705601.76944
0.489447236180904,-1064114703.41949,-1039306796.26382
0.496482412060301,-1064031258.74297,-1038965944.32405
0.503517587939698,-1064002247.74497,-1038683159.3941
0.510552763819095,-1064027734.84156,-1038458478.64485
0.517587939698492,-1064107716.13735,-1038291862.97405
0.524623115577889,-1064242119.4083,-1038183197.00632
0.531658291457286,-1064430804.12449,-1038132289.09313
0.538693467336683,-1064673561.51387,-1038138871.31286
0.54572864321608,-1064970114.66895,-1038202599.47073
0.552763819095477,-1065320118.69839,-1038323053.09886
0.559798994974874,-1065723160.92661,-1038499735.45623
0.566834170854271,-1066178761.14505,-1038732073.52868
0.573869346733668,-1066686371.91924,-1039019418.02895
0.580904522613065,-1067245378.95742,-1039361043.39663
0.587939698492462,-1067855101.54719,-1039756147.79819
0.594974874371859,-1068514793.06841,-1040203853.12698
0.602010050251256,-1069223641.59229,-1040703205.00322
0.609045226130653,-1069980770.57926,-1041253172.77399
0.61608040201005,-1070785239.69106,-1041852649.51326
0.623115577889447,-1071636045.73676,-1042500452.02185
0.630150753768844,-1072532123.7777,-1043195320.82749
0.637185929648241,-1073472348.424,-1043935920.18475
0.644221105527638,-1074455535.36526,-1044720838.07509
0.651256281407035,-1075480443.19283,-1045548586.20683
0.658291457286432,-1076545775.59196,-1046417600.01516
0.665326633165829,-1077650184.01385,-1047326238.66217
0.672361809045226,-1078792270.98576,-1048272785.0368
0.679396984924623,-1079970594.2954,-1049255445.75486
0.68643216080402,-1081183672.41571,-1050272351.15905
0.693467336683417,-1082429991.76622,-1051321555.31892
0.700502512562814,-1083708016.8429,-1052401036.03092
0.707537688442211,-1085016205.14785,-1053508694.81836
0.714572864321608,-1086353030.93739,-1054642356.9314
0.721608040201005,-1087717027.52445,-1055799771.34712
0.728643216080402,-1089106878.33313,-1056978610.76943
0.735678391959799,-1090521719.41483,-1058176471.62914
0.742713567839196,-1091961968.87418,-1059390874.08392
0.749748743718593,-1093424187.79673,-1060619262.01831
0.75678391959799,-1094904956.44724,-1061859003.04373
0.763819095477387,-1096401397.88954,-1063107388.49848
0.770854271356784,-1097910717.45063,-1064361633.44772
0.777889447236181,-1099430116.93876,-1065618876.68348
0.784924623115578,-1100956761.84728,-1066876180.72467
0.791959798994975,-1102487765.56522,-1068130531.81708
0.798994974874372,-1104020180.74396,-1069378839.93336
0.806030150753769,-1105550994.2004,-1070617938.77303
0.813065326633166,-1107077123.7785,-1071844585.76251
0.820100502512563,-1108595416.3993,-1073055462.05506
0.82713567839196,-1110102646.8936,-1074247172.53083
0.834170854271357,-1111595517.39297,-1075416245.79683
0.841206030150754,-1113070657.15356,-1076559134.18696
0.848241206030151,-1114524622.74538,-1077672213.76199
0.855276381909548,-1115953898.57837,-1078751784.30955
0.862311557788945,-1117354897.76477,-1079794069.34415
0.869346733668342,-1118723963.34273,-1080795216.10718
0.876381909547739,-1120057369.91206,-1081751295.56688
0.883417085427136,-1121351325.76428,-1082658302.4184
0.890452261306533,-1122601975.63151,-1083512155.08372
0.89748743718593,-1123805404.24029,-1084308695.71173
0.904522613065327,-1124957640.95137,-1085043690.17817
0.911557788944724,-1126054665.92308,-1085712828.08566
0.91859296482412,-1127092418.50753,-1086311722.76369
0.925628140703518,-1128066809.09571,-1086835911.26863
0.932663316582915,-1128973736.66316,-1087280854.38371
0.939698492462312,-1129809116.65401,-1087641936.61905
0.946733668341708,-1130568930.45973,-1087914466.21163
0.953768844221105,-1131249333.32905,-1088093675.12531
0.960804020100502,-1131847106.37371,-1088174719.05082
0.9678391959799,-1132359097.99438,-1088152677.40575
0.974874371859296,-1132781638.1309,-1088022553.33458
0.981909547738693,-1133110151.22551,-1087779273.70867
0.98894472361809,-1133336531.23272,-1087417689.12623
0.995979899497487,-1133454147.76302,-1086932573.91235
1.00301507537688,-1133456736.537,-1086318626.11899
1.01005025125628,-1133338131.21087,-1085570467.52501
1.01708542713568,-1133092176.21472,-1084682643.63611
1.02412060301508,-1132712686.13272,-1083649623.68487
1.03115577889447,-1132193423.29794,-1082465800.63075
1.03819095477387,-1131528084.07478,-1081125491.16008
1.04522613065327,-1130710289.82564,-1079622935.68607
1.05226130653266,-1129733580.62825,-1077952298.34878
1.05929648241206,-1128591410.71332,-1076107667.01518
1.06633165829146,-1127277145.03235,-1074083053.27907
1.07336683417085,-1125784056.59779,-1071872392.46115
1.08040201005025,-1124105324.368,-1069469543.60899
1.08743718592965,-1122234031.52754,-1066868289.49703
1.09447236180905,-1120163164.06066,-1064062336.62658
1.10150753768844,-1117885609.54689,-1061045315.22582
1.10854271356784,-1115394156.12779,-1057810779.24982
1.11557788944724,-1112681491.60753,-1054352206.3805
1.12261306532663,-1109740202.6599,-1050662998.02667
1.12964824120603,-1106562774.12065,-1046736479.324
1.13668341708543,-1103141588.34933,-1042565899.13504
1.14371859296482,-1099468924.64818,-1038144430.04922
1.15075376884422,-1095536958.72835,-1033465168.38282
1.15778894472362,-1091337762.21564,-1028521134.17902
1.16482412060301,-1086863302.18977,-1023305271.20785
1.17185929648241,-1082105440.752,-1017810446.96624
1.17889447236181,-1077055934.61702,-1012029452.67795
1.18592964824121,-1071706434.72598,-1005955003.29366
1.1929648241206,-1066048485.87757,-999579737.490892
1.2,-1060073526.37515,-992896217.674051
