t,veff,vtree
-0.2,-362845107.706824,-363253952.51772
-0.192964824120603,-363300345.467465,-363707063.336673
-0.185929648241206,-363732155.420248,-364134356.605478
-0.178894472361809,-364141119.075315,-364536424.607842
-0.171859296482412,-364527811.684367,-364913853.547935
-0.164824120603015,-364892802.262,-365267223.55039
-0.157788944723618,-365236653.607756,-365597108.660301
-0.150753768844221,-365559922.329024,-365904076.843225
-0.143718592964824,-365863158.864972,-366188689.985181
-0.136683417085427,-366146907.511712,-366451503.892652
-0.12964824120603,-366411706.448993,-366693068.292581
-0.122613065326633,-366658087.768747,-366913926.832376
-0.115577889447236,-366886577.505964,-367114617.079906
-0.108542713567839,-367097695.67246,-367295670.523502
-0.101507537688442,-367291956.294338,-367457612.571958
-0.0944723618090453,-367469867.454164,-367600962.55453
-0.0874371859296483,-367631931.339295,-367726233.720937
-0.0804020100502513,-367778644.298307,-367833933.241361
-0.0733668341708543,-367910496.908336,-367924562.206444
-0.0663316582914573,-368027974.057365,-367998615.627293
-0.0592964824120603,-368131555.047538,-368056582.435476
-0.0522613065326633,-368221713.728872,-368098945.483025
-0.0452261306532664,-368298918.678502,-368126181.542431
-0.0381909547738694,-368363633.451129,-368138761.306651
-0.0311557788944724,-368416316.947077,-368137149.389104
-0.0241206030150754,-368457423.989135,-368121804.323668
-0.0170854271356784,-368487406.308998,-368093178.564688
-0.0100502512562814,-368506714.466387,-368051718.486968
-0.00301507537688445,-368515802.514328,-367997864.385776
0.00402010050251253,-368515149.915128,-367932050.476842
0.0110552763819095,-368505252.991771,-367854704.896358
0.0180904522613065,-368486409.040209,-367766249.70098
0.0251256281407035,-368458983.128012,-367667100.867825
0.0321608040201005,-368423332.911201,-367557668.294472
0.0391959798994975,-368379793.717659,-367438355.798964
0.0462311557788944,-368328717.920882,-367309561.119805
0.0532663316582914,-368270460.431395,-367171675.915962
0.0603015075376884,-368205375.310045,-367025085.766864
0.0673366834170854,-368133814.283894,-366870170.172403
0.0743718592964824,-368056125.912136,-366707302.552933
0.0814070351758794,-367972655.057386,-366536850.249272
0.0884422110552763,-367883742.525303,-366359174.522697
0.0954773869346733,-367789724.807104,-366174630.55495
0.10251256281407,-367690933.890159,-365983567.448235
0.109547738693467,-367587697.117143,-365786328.225218
0.116582914572864,-367480337.083159,-365583249.829029
0.123618090452261,-367369171.566841,-365374663.123256
0.130653266331658,-367254513.499168,-365160892.891955
0.137688442211055,-367136670.988777,-364942257.839642
0.144723618090452,-367015947.470958,-364719070.591293
0.151758793969849,-366892642.349193,-364491637.692351
0.158793969849246,-366767052.753362,-364260259.608717
0.165829145728643,-366639463.755943,-364025230.726758
0.17286432160804,-366510151.989417,-363786839.353301
0.179899497487437,-366379388.474747,-363545367.715638
0.186934673366834,-366247440.993627,-363301091.961519
0.193969849246231,-366114572.686208,-363054282.159161
0.201005025125628,-365981041.913045,-362805202.297241
0.208040201005025,-365847103.305511,-362554110.284899
0.215075376884422,-365713003.781669,-362301257.951737
0.222110552763819,-365578980.906365,-362046891.04782
0.229145728643216,-365445269.139703,-361791249.243676
0.236180904522613,-365312098.15318,-361534566.130293
0.24321608040201,-365179692.455726,-361277069.219124
0.250251256281407,-365048271.242921,-361018979.942083
0.257286432160804,-364918048.31074,-360760513.651547
0.264321608040201,-364789231.996734,-360501879.620355
0.271356783919598,-364662025.135409,-360243281.041808
0.278391959798995,-364536625.021934,-359984915.029672
0.285427135678392,-364413223.381147,-359726972.618171
0.292462311557789,-364292006.34018,-359469638.761996
0.299497487437186,-364173154.403651,-359213092.336296
0.306532663316583,-364056842.430758,-358957506.136687
0.31356783919598,-363943239.61382,-358703046.879244
0.320603015075377,-363832509.457955,-358449875.200505
0.327638190954774,-363724809.761651,-358198145.657471
0.334673366834171,-363620292.59808,-357948006.727606
0.341708542713568,-363519104.296999,-357699600.808835
0.348743718592965,-363421385.427167,-357453064.219547
0.355778894472362,-363327270.779181,-357208527.198592
0.362814070351759,-363236889.34868,-356966113.905282
0.369849246231156,-363150364.319867,-356725942.419394
0.376884422110553,-363067813.049308,-356488124.741164
0.38391959798995,-362989347.049983,-356252766.791294
0.390954773869347,-362915071.975559,-356019968.410946
0.397989949748744,-362845087.604869,-355789823.361744
0.405025125628141,-362779487.826586,-355562419.325776
0.412060301507538,-362718360.624071,-355337837.905591
0.419095477386935,-362661788.060391,-355116154.624203
0.426130653266332,-362609846.263509,-354897438.925086
0.433165829145729,-362562605.411624,-354681754.172176
0.440201005025126,-362520129.718678,-354469157.649873
0.447236180904522,-362482477.420008,-354259700.563039
0.45427135678392,-362449700.75817,-354053428.036998
0.461306532663317,-362421845.968908,-353850379.117537
0.468341708542713,-362398953.267287,-353650586.770905
0.475376884422111,-362381056.833999,-353454077.883813
0.482412060301507,-362368184.801821,-353260873.263435
0.489447236180904,-362360359.242264,-353070987.637408
0.496482412060301,-362357596.152386,-352884429.65383
0.503517587939698,-362359905.441794,-352701201.881263
0.510552763819095,-362367290.919846,-352521300.808729
0.517587939698492,-362379750.283037,-352344716.845715
0.524623115577889,-362397275.102606,-352171434.322169
0.531658291457286,-362419850.812344,-352001431.488502
0.538693467336683,-362447456.696642,-351834680.515586
0.54572864321608,-362480065.878754,-351671147.494759
0.552763819095477,-362517645.309326,-351510792.437817
0.559798994974874,-362560155.755159,-351353569.27702
0.566834170854271,-362607551.788256,-351199425.865093
0.573869346733668,-362659781.775136,-351048303.975219
0.580904522613065,-362716787.86645,-350900139.301047
0.587939698492462,-362778505.986904,-350754861.456687
0.594974874371859,-362844865.825503,-350612393.97671
0.602010050251256,-362915790.826141,-350472654.316152
0.609045226130653,-362991198.178551,-350335553.85051
0.61608040201005,-363070998.80964,-350200997.875744
0.623115577889447,-363155097.375227,-350068885.608275
0.630150753768844,-363243392.252222,-349939110.184989
0.637185929648241,-363335775.531257,-349811558.663232
0.644221105527638,-363432133.00983,-349686112.020813
0.651256281407035,-363532344.185965,-349562645.156004
0.658291457286432,-363636282.252474,-349441026.88754
0.665326633165829,-363743814.09183,-349321119.954615
0.672361809045226,-363854800.271748,-349202781.016891
0.679396984924623,-363969095.041517,-349085860.654488
0.68643216080402,-364086546.329191,-348970203.367989
0.693467336683417,-364206995.739719,-348855647.578442
0.700502512562814,-364330278.554173,-348742025.627353
0.707537688442211,-364456223.730199,-348629163.776695
0.714572864321608,-364584653.903928,-348516882.208901
0.721608040201005,-364715385.39361,-348404995.026866
0.728643216080402,-364848228.205341,-348293310.253949
0.735678391959799,-364982986.041423,-348181629.83397
0.742713567839196,-365119456.312144,-348069749.631213
0.749748743718593,-365257430.15224,-347957459.430422
0.75678391959799,-365396692.444184,-347844542.936806
0.763819095477387,-365537021.8524,-347730777.776035
0.770854271356784,-365678190.877321,-347615935.494242
0.777889447236181,-365819965.953441,-347499781.558021
0.784924623115578,-365962107.687336,-347382075.35443
0.791959798994975,-366104372.048462,-347262570.190989
0.798994974874372,-366246506.664311,-347141013.29568
0.806030150753769,-366388250.235306,-347017145.816949
0.813065326633166,-366529336.737112,-346890702.823701
0.820100502512563,-366669494.453431,-346761413.305306
0.82713567839196,-366808445.944936,-346629000.171597
0.834170854271357,-366945908.369511,-346493180.252868
0.841206030150754,-367081594.927732,-346353664.299876
0.848241206030151,-367215208.452768,-346210156.983839
0.855276381909548,-367346444.80952,-346062356.896439
0.862311557788945,-367474995.499923,-345909956.549821
0.869346733668342,-367600546.891996,-345752642.37659
0.876381909547739,-367722780.398152,-345590094.729816
0.883417085427136,-367841373.151913,-345421987.883029
0.890452261306533,-367956001.495001,-345247990.030223
0.89748743718593,-368066331.603538,-345067763.285854
0.904522613065327,-368172014.229058,-344880963.684842
0.911557788944724,-368272701.156284,-344687241.182565
0.91859296482412,-368368043.143236,-344486239.654868
0.925628140703518,-368457698.750464,-344277596.898057
0.932663316582915,-368541309.587065,-344060944.628899
0.939698492462312,-368618467.723386,-343835908.484625
0.946733668341708,-368688778.795043,-343602108.022927
0.953768844221105,-368751852.482208,-343359156.721962
0.960804020100502,-368807311.277211,-343106661.980346
0.9678391959799,-368854771.343684,-342844225.11716
0.974874371859296,-368893837.368817,-342571441.371947
0.981909547738693,-368924019.50142,-342287899.90471
0.98894472361809,-368944849.039133,-341993183.795919
0.995979899497487,-368955862.847192,-341686870.046501
1.00301507537688,-368956595.543182,-341368529.57785
1.01005025125628,-368946577.307313,-341037727.231821
1.01708542713568,-368925332.903122,-340694021.770729
1.02412060301508,-368892381.145097,-340336965.877354
1.03115577889447,-368847234.573273,-339966106.154939
1.03819095477387,-368789399.237626,-339580983.127187
1.04522613065327,-368718374.546365,-339181131.238265
1.05226130653266,-368633653.15403,-338766078.852802
1.05929648241206,-368534720.875691,-338335348.25589
1.06633165829146,-368421056.618997,-337888455.653082
1.07336683417085,-368292132.328843,-337424911.170394
1.08040201005025,-368147412.941198,-336944218.854305
1.08743718592965,-367986356.343774,-336445876.671757
1.09447236180905,-367808413.34187,-335929376.510152
1.10150753768844,-367613027.62823,-335394204.177357
1.10854271356784,-367399635.756044,-334839839.401699
1.11557788944724,-367167667.114464,-334265755.83197
1.12261306532663,-366916543.906139,-333671421.037423
1.12964824120603,-366645681.126394,-333056296.507773
1.13668341708543,-366354486.543775,-332419837.653198
1.14371859296482,-366042360.681716,-331761493.804338
1.15075376884422,-365708696.801165,-331080708.212296
1.15778894472362,-365352880.884003,-330376918.048638
1.16482412060301,-364974291.617157,-329649554.40539
1.17185929648241,-364572300.377294,-328898042.295043
1.17889447236181,-364146271.216027,-328121800.65055
1.18592964824121,-363695560.845573,-327320242.325324
1.1929648241206,-363219518.624785,-326492774.093244
1.2,-362717486.545548,-325638796.648648
