t,veff,vtree
-0.2,-631134919.810848,-620556009.208503
-0.192964824120603,-633975438.395258,-623639416.422942
-0.185929648241206,-636659426.080958,-626562297.441564
-0.178894472361809,-639190984.769113,-629328553.287031
-0.171859296482412,-641574169.45302,-631942044.801156
-0.164824120603015,-643812988.408062,-634406592.644898
-0.157788944723618,-645911403.398228,-636725977.298367
-0.150753768844221,-647873329.902222,-638903939.060821
-0.143718592964824,-649702637.362915,-640944178.050664
-0.136683417085427,-651403149.464827,-642850354.205453
-0.12964824120603,-652978644.445595,-644626087.281891
-0.122613065326633,-654432855.449038,-646274956.855829
-0.115577889447236,-655769470.929668,-647800502.322269
-0.108542713567839,-656992135.121603,-649206222.89536
-0.101507537688442,-658104448.589111,-650495577.6084
-0.0944723618090453,-659109968.882153,-651671985.313835
-0.0874371859296483,-660012211.329193,-652738824.68326
-0.0804020100502513,-660814650.012783,-653699434.207421
-0.0733668341708543,-661520718.993752,-654557112.196209
-0.0663316582914573,-662133813.882016,-655315116.778666
-0.0592964824120603,-662657293.904942,-655976665.90298
-0.0522613065326633,-663094484.715453,-656544937.336492
-0.0452261306532664,-663448682.348293,-657023068.665687
-0.0381909547738694,-663723159.057604,-657414157.296201
-0.0311557788944724,-663921172.462614,-657721260.45282
-0.0241206030150754,-664045981.099122,-657947395.179474
-0.0170854271356784,-664100874.257913,-658095538.339248
-0.0100502512562814,-664089242.128607,-658168626.61437
-0.00301507537688445,-664014845.671762,-658169556.506219
0.00402010050251253,-663882298.019361,-658101184.335324
0.0110552763819095,-663692523.738157,-657966326.241359
0.0180904522613065,-663447055.90188,-657767758.183151
0.0251256281407035,-663148005.148583,-657508215.938671
0.0321608040201005,-662797684.217932,-657190395.105043
0.0391959798994975,-662398623.312507,-656816951.098537
0.0462311557788944,-661953494.908816,-656390499.154573
0.0532663316582914,-661464022.72774,-655913614.327717
0.0603015075376884,-660932162.595936,-655388831.491688
0.0673366834170854,-660360001.843264,-654818645.33935
0.0743718592964824,-659749661.682048,-654205510.382716
0.0814070351758794,-659103270.244136,-653551840.95295
0.0884422110552763,-658422949.564628,-652860011.200362
0.0954773869346733,-657710807.904907,-652132355.094413
0.10251256281407,-656968934.6907,-651371166.42371
0.109547738693467,-656199396.928812,-650578698.79601
0.116582914572864,-655404236.543227,-649757165.63822
0.123618090452261,-654585468.322665,-648908740.196394
0.130653266331658,-653745078.295666,-648035555.535734
0.137688442211055,-652885022.416441,-647139704.540592
0.144723618090452,-652007225.483669,-646223239.914469
0.151758793969849,-651113580.238344,-645288174.180012
0.158793969849246,-650205946.6022,-644336479.679019
0.165829145728643,-649286151.02845,-643370088.572438
0.17286432160804,-648355985.943652,-642390892.840361
0.179899497487437,-647417209.264521,-641400744.282033
0.186934673366834,-646471543.977094,-640401454.515846
0.193969849246231,-645520677.768305,-639394794.979339
0.201005025125628,-644566262.702078,-638382496.929203
0.208040201005025,-643609914.933486,-637366251.441276
0.215075376884422,-642653214.455785,-636347709.410543
0.222110552763819,-641697704.875989,-635328481.55114
0.229145728643216,-640744893.215408,-634310138.396351
0.236180904522613,-639796249.732149,-633294210.298609
0.24321608040201,-638853207.763036,-632282187.429493
0.250251256281407,-637917163.582799,-631275519.779735
0.257286432160804,-636989476.278677,-630275617.159211
0.264321608040201,-636071467.638847,-629283849.19695
0.271356783919598,-635164422.053295,-628301545.341126
0.278391959798995,-634269586.425914,-627329994.859065
0.285427135678392,-633388170.096783,-626370446.837239
0.292462311557789,-632521344.773671,-625424110.181268
0.299497487437186,-631670244.471938,-624492153.615924
0.306532663316583,-630835965.462085,-623575705.685126
0.31356783919598,-630019566.224265,-622675854.75194
0.320603015075377,-629222067.409154,-621793648.998583
0.327638190954774,-628444451.804614,-620930096.426418
0.334673366834171,-627687664.307624,-620086164.855961
0.341708542713568,-626952611.901012,-619262781.926872
0.348743718592965,-626240163.63453,-618460835.097962
0.355778894472362,-625551150.609861,-617681171.64719
0.362814070351759,-624886365.969166,-616924598.671664
0.369849246231156,-624246564.886775,-616191883.087641
0.376884422110553,-623632464.563704,-615483751.630525
0.38391959798995,-623044744.224624,-614800890.85487
0.390954773869347,-622484045.116978,-614143947.13438
0.397989949748744,-621950970.511923,-613513526.661904
0.405025125628141,-621446085.706812,-612910195.449442
0.412060301507538,-620969918.028909,-612334479.328142
0.419095477386935,-620522956.840085,-611786863.948302
0.426130653266332,-620105653.542213,-611267794.779367
0.433165829145729,-619718421.583018,-610777677.109932
0.440201005025126,-619361636.462141,-610316876.047738
0.447236180904522,-619035635.7372,-609885716.519677
0.45427135678392,-618740719.029611,-609484483.27179
0.461306532663317,-618477148.03,-609113420.869265
0.468341708542713,-618245146.503005,-608772733.69644
0.475376884422111,-618044900.291304,-608462585.956799
0.482412060301507,-617876557.318724,-608183101.672979
0.489447236180904,-617740227.592304,-607934364.686762
0.496482412060301,-617635983.203192,-607716418.65908
0.503517587939698,-617563858.326299,-607529267.070014
0.510552763819095,-617523849.218633,-607372873.218792
0.517587939698492,-617515914.216274,-607247160.223792
0.524623115577889,-617539973.729979,-607152011.022542
0.531658291457286,-617595910.239399,-607087268.371715
0.538693467336683,-617683568.285967,-607052734.847136
0.54572864321608,-617802754.464487,-607048172.843777
0.552763819095477,-617953237.413535,-607073304.575759
0.559798994974874,-618134747.804749,-607127812.076351
0.566834170854271,-618346978.331176,-607211337.197971
0.573869346733668,-618589583.694819,-607323481.612187
0.580904522613065,-618862180.593581,-607463806.809713
0.587939698492462,-619164347.707825,-607631834.100415
0.594974874371859,-619495625.686782,-607827044.613304
0.602010050251256,-619855517.135089,-608048879.296542
0.609045226130653,-620243486.599738,-608296738.917439
0.61608040201005,-620658960.55776,-608569984.062454
0.623115577889447,-621101327.404981,-608867935.137194
0.630150753768844,-621569937.446221,-609189872.366415
0.637185929648241,-622064102.887317,-609535035.794021
0.644221105527638,-622583097.829389,-609902625.283065
0.651256281407035,-623126158.265781,-610291800.51575
0.658291457286432,-623692482.082138,-610701680.993426
0.665326633165829,-624281229.060112,-611131346.036591
0.672361809045226,-624891520.885196,-611579834.784894
0.679396984924623,-625522441.159242,-612046146.197131
0.68643216080402,-626173035.418234,-612529239.051247
0.693467336683417,-626842311.155924,-613028031.944335
0.700502512562814,-627529237.853994,-613541403.292638
0.707537688442211,-628232747.019429,-614068191.331547
0.714572864321608,-628951732.229878,-614607194.1156
0.721608040201005,-629685049.187811,-615157169.518487
0.728643216080402,-630431515.784365,-615716835.233044
0.735678391959799,-631189912.173896,-616284868.771256
0.742713567839196,-631958980.860303,-616859907.464257
0.749748743718593,-632737426.796374,-617440548.462331
0.75678391959799,-633523917.497526,-618025348.734908
0.763819095477387,-634317083.171524,-618612825.070568
0.770854271356784,-635115516.865953,-619201454.07704
0.777889447236181,-635917774.635543,-619789672.181201
0.784924623115578,-636722375.731731,-620375875.629078
0.791959798994975,-637527802.817285,-620958420.485844
0.798994974874372,-638332502.209311,-621535622.635822
0.806030150753769,-639134884.154591,-622105757.782484
0.813065326633166,-639933323.141981,-622667061.448452
0.820100502512563,-640726158.257581,-623217728.975492
0.82713567839196,-641511693.589669,-623755915.524524
0.834170854271357,-642288198.69196,-624279736.075614
0.841206030150754,-643053909.115904,-624787265.427977
0.848241206030151,-643807027.02545,-625276538.199975
0.855276381909548,-644545721.911441,-625745548.829121
0.862311557788945,-645268131.427805,-626192251.572077
0.869346733668342,-645972362.378641,-626614560.504651
0.876381909547739,-646656491.895132,-627010349.521802
0.883417085427136,-647318568.85539,-627377452.337636
0.890452261306533,-647956615.621397,-627713662.485408
0.89748743718593,-648568630.19963,-628016733.317523
0.904522613065327,-649152588.983503,-628284378.005533
0.911557788944724,-649706450.322093,-628514269.54014
0.91859296482412,-650228159.312297,-628704040.731193
