t,veff,vtree
-0.2,-152081867.623093,-173814398.447942
-0.192964824120603,-192553924.124432,-213905051.556976
-0.185929648241206,-230917120.682462,-251962566.089143
-0.178894472361809,-267227414.732192,-288036495.22194
-0.171859296482412,-301540126.26321,-322175886.403727
-0.164824120603015,-333909940.627269,-354429281.353719
-0.157788944723618,-364390911.634648,-384844716.061992
-0.150753768844221,-393036464.990512,-413469720.789482
-0.143718592964824,-419899402.134217,-440351320.067984
-0.136683417085427,-445031904.559569,-465536032.700151
-0.12964824120603,-468485538.713572,-489069871.759498
-0.122613065326633,-490311261.596789,-510998344.590396
-0.115577889447236,-510559427.222435,-531366452.80808
-0.108542713567839,-529279794.136998,-550218692.298637
-0.101507537688442,-546521534.267707,-567599053.219021
-0.0944723618090453,-562333243.448786,-583551019.997041
-0.0874371859296483,-576762954.101204,-598117571.331366
-0.0804020100502513,-589858150.717845,-611341180.191525
-0.0733668341708543,-601665789.068408,-623263813.817905
-0.0663316582914573,-612232320.437427,-633926933.721755
-0.0592964824120603,-621603722.835598,-643371495.685179
-0.0522613065326633,-629825542.147067,-651637949.761145
-0.0452261306532664,-636942947.920241,-658766240.273478
-0.0381909547738694,-643000811.658004,-664795805.816861
-0.0311557788944724,-648043821.556042,-669765579.256839
-0.0241206030150754,-652116660.564595,-673713987.729814
-0.0170854271356784,-655264305.799869,-676678952.64305
-0.0100502512562814,-657532598.38648,-678697889.674667
-0.00301507537688445,-658969610.663923,-679807708.773647
0.00402010050251253,-659632297.902601,-680044814.15983
0.0110552763819095,-659573334.820612,-679445104.323916
0.0180904522613065,-658836087.745648,-678043972.027464
0.0251256281407035,-657440098.255767,-675876304.302891
0.0321608040201005,-655391796.47362,-672976482.453477
0.0391959798994975,-652706423.332962,-669378382.053356
0.0462311557788944,-649406051.94289,-665115372.947526
0.0532663316582914,-645515219.246007,-660220319.251843
0.0603015075376884,-641059729.896504,-654725579.35302
0.0673366834170854,-636066085.223321,-648663005.908632
0.0743718592964824,-630561155.677026,-642063945.847113
0.0814070351758794,-624571972.33295,-634959240.367755
0.0884422110552763,-618125584.682911,-627379224.94071
0.0954773869346733,-611248958.704814,-619353729.30699
0.10251256281407,-603968901.023678,-610912077.478466
0.109547738693467,-596312000.835092,-602083087.737866
0.116582914572864,-588304584.418761,-592895072.638781
0.123618090452261,-579972678.886423,-583375839.00566
0.130653266331658,-571341982.911612,-573552687.93381
0.137688442211055,-562437842.89051,-563452414.789399
0.144723618090452,-553285233.449412,-553101309.209452
0.151758793969849,-543908741.538395,-542525155.101857
0.158793969849246,-534332553.588853,-531749230.645357
0.165829145728643,-524580445.400656,-520798308.289558
0.17286432160804,-514675774.589825,-509696654.754924
0.179899497487437,-504641475.593764,-498468031.032777
0.186934673366834,-494500057.4264,-487135692.3853
0.193969849246231,-484273604.641765,-475722388.345534
0.201005025125628,-473983782.374433,-464250362.717381
0.208040201005025,-463651847.022099,-452741353.575602
0.215075376884422,-453298665.429047,-441216593.265815
0.222110552763819,-442944748.057045,-429696808.4045
0.229145728643216,-432610307.574368,-418202219.878995
0.236180904522613,-422315369.798533,-406752542.847497
0.24321608040201,-412080013.909593,-395366986.739064
0.250251256281407,-401925054.564023,-384064255.253612
0.257286432160804,-391876216.799577,-372862546.361916
0.264321608040201,-381950950.657953,-361779552.305611
0.271356783919598,-372152035.821301,-350832459.597192
0.278391959798995,-362489544.445979,-340037949.020011
0.285427135678392,-352975281.760359,-329412195.628282
0.292462311557789,-343621634.776362,-318970868.747077
0.299497487437186,-334441164.865249,-308729131.972327
0.306532663316583,-325446406.662544,-298701643.170823
0.31356783919598,-316649750.923964,-288902554.480215
0.320603015075377,-308063368.840872,-279345512.309011
0.327638190954774,-299699159.513457,-270043657.336582
0.334673366834171,-291568711.530609,-261009624.513155
0.341708542713568,-283683273.71979,-252255543.059816
0.348743718592965,-276053732.168382,-243793036.468514
0.355778894472362,-268690591.713596,-235633222.502053
0.362814070351759,-261603960.726047,-227786713.194099
0.369849246231156,-254803538.391415,-220263614.849176
0.376884422110553,-248298603.933813,-213073528.042668
0.38391959798995,-242098007.380969,-206225547.620819
0.390954773869347,-236210161.576948,-199728262.700731
0.397989949748744,-230643035.221384,-193589756.670365
0.405025125628141,-225404146.766253,-187817607.188543
0.412060301507538,-220500559.038968,-182418886.184945
0.419095477386935,-215938874.488494,-177400159.860111
0.426130653266332,-211725230.972201,-172767488.68544
0.433165829145729,-207865298.017241,-168526427.403189
0.440201005025126,-204364273.502671,-164682025.026478
0.447236180904522,-201226880.718349,-161238824.839282
0.45427135678392,-198457365.764452,-158200864.396439
0.461306532663317,-196059495.261755,-155571675.523642
0.468341708542713,-194036554.347988,-153354284.317449
0.475376884422111,-192391344.939876,-151551211.145272
0.482412060301507,-191126184.244099,-150164470.645385
0.489447236180904,-190242903.503499,-149195571.726921
0.496482412060301,-189742846.967594,-148645517.569872
0.503517587939698,-189626871.078872,-148514805.62509
0.510552763819095,-189895343.868522,-148803427.614286
0.517587939698492,-190548144.557304,-149510869.530028
0.524623115577889,-191584663.359153,-150636111.635748
0.531658291457286,-193003801.486929,-152177628.465733
0.538693467336683,-194803971.361426,-154133388.825131
0.54572864321608,-196983097.026402,-156500855.789951
0.552763819095477,-199538614.77384,-159276986.707058
0.559798994974874,-202467473.984911,-162458233.194178
0.566834170854271,-205766138.192899,-166040541.139896
0.573869346733668,-209430586.374403,-170019350.703658
0.580904522613065,-213456314.473684,-174389596.315768
0.587939698492462,-217838337.160831,-179145706.677387
0.594974874371859,-222571189.814682,-184281604.760539
0.602010050251256,-227648930.700051,-189790707.808106
0.609045226130653,-233065143.260659,-195665927.333828
0.61608040201005,-238812938.329799,-201899669.122306
0.623115577889447,-244884955.694169,-208483833.229001
0.630150753768844,-251273362.395601,-215409813.98023
0.637185929648241,-257969846.617091,-222668499.973173
0.644221105527638,-264965635.014795,-230250274.075866
0.651256281407035,-272251518.309586,-238145013.427208
0.658291457286432,-279817871.975383,-246342089.436953
0.665326633165829,-287654677.455309,-254830367.785719
0.672361809045226,-295751545.982986,-263598208.42498
0.679396984924623,-304097746.67071,-272633465.577069
0.68643216080402,-312682240.921274,-281923487.735181
0.693467336683417,-321493726.164658,-291455117.663369
0.700502512562814,-330520693.716479,-301214692.396544
0.707537688442211,-339751509.036239,-311188043.240478
0.714572864321608,-349174529.940974,-321360495.771802
0.721608040201005,-358778295.386029,-331716869.838006
0.728643216080402,-368551864.693499,-342241479.55744
0.735678391959799,-378485559.076086,-352918133.319312
0.742713567839196,-388573519.515976,-363730133.78369
0.749748743718593,-398819804.776452,-374660277.881501
0.75678391959799,-409196003.249069,-385690856.814533
0.763819095477387,-419675696.608086,-396803656.055431
0.770854271356784,-430236900.250994,-407979955.3477
0.777889447236181,-440858486.429071,-419200528.705706
0.784924623115578,-451519475.320071,-430445644.414671
0.791959798994975,-462198758.257268,-441695065.03068
0.798994974874372,-472874963.223864,-452928047.380674
0.806030150753769,-483526381.316719,-464123342.562456
0.813065326633166,-494130923.761592,-475259195.944687
0.820100502512563,-504666096.010122,-486313347.166886
0.82713567839196,-515108982.24684,-497263030.139435
0.834170854271357,-525436236.734855,-508084973.043573
0.841206030150754,-535624079.987154,-518755398.331396
0.848241206030151,-545648298.599477,-529250022.725864
0.855276381909548,-555484248.079092,-539544057.220793
0.862311557788945,-565106858.320523,-549612207.080859
0.869346733668342,-574490641.600767,-559428671.841598
0.876381909547739,-583609703.141093,-568967145.309407
0.883417085427136,-592437754.440779,-578200815.561537
0.890452261306533,-600948129.753405,-587102364.946103
0.89748743718593,-609113806.271081,-595643970.082078
0.904522613065327,-616907428.833378,-603797301.859295
0.911557788944724,-624301340.324444,-611533525.438444
0.91859296482412,-631267619.42474,-618823300.251076
0.925628140703518,-637778128.14581,-625636779.999603
0.932663316582915,-643804572.78124,-631943612.657292
0.939698492462312,-649318583.901518,-637712940.468273
0.946733668341708,-654291824.504205,-642913399.947534
0.953768844221105,-658696141.925354,-647513121.880922
0.960804020100502,-662503792.275705,-651479731.325145
0.9678391959799,-665687795.976025,-654780347.607767
0.974874371859296,-668222562.475541,-657381584.327215
0.981909547738693,-670085202.685371,-659249549.352773
0.98894472361809,-671260116.7354,-660349844.824584
0.995979899497487,-671744257.764978,-660647567.153653
1.00301507537688,-671520875.081726,-660107307.021842
1.01005025125628,-670522454.347528,-658693149.381872
1.01708542713568,-668688916.442083,-656368673.457325
1.02412060301508,-665970204.859355,-653096952.742642
1.03115577889447,-662319057.449294,-648840555.003121
1.03819095477387,-657689320.125284,-643561542.274923
1.04522613065327,-652035256.982,-637221470.865066
1.05226130653266,-645311195.315635,-629781391.351427
1.05929648241206,-637471318.54123,-621201848.582744
1.06633165829146,-628469534.988336,-611442881.678612
1.07336683417085,-618259389.681833,-600464024.029488
1.08040201005025,-606794002.279057,-588224303.296687
1.08743718592965,-594026021.81387,-574682241.412383
1.09447236180905,-579907592.715317,-559795854.579609
1.10150753768844,-564390328.659004,-543522653.272258
1.10854271356784,-547425292.020596,-525819642.235083
1.11557788944724,-528962977.435701,-506643320.483696
1.12261306532663,-508953298.433881,-485949681.304567
1.12964824120603,-487345576.416472,-463694212.255026
1.13668341708543,-464088531.450303,-439831895.163263
1.14371859296482,-439130274.488404,-414317206.128326
1.15075376884422,-412418300.726414,-387104115.520124
1.15778894472362,-383899483.873156,-358146087.979424
1.16482412060301,-353520071.16474,-327396082.417853
1.17185929648241,-321225678.98903,-294806552.017897
1.17889447236181,-286961289.015532,-260329444.232902
1.18592964824121,-250671244.747065,-223916200.78707
1.1929648241206,-212299248.426035,-185517757.675468
1.2,-171788358.240786,-145084545.164019
