mu,VN,VCB,m112,m122,m222,lam1,lam2,lam3,lam4,lam5,yt,gp,g
246,-534437684.004163,-540820689.339008,1901.98828492211,1034.63137875067,-60116.3308171377,0.000876583931167859,3.50137533369947,-0.0791420932112007,0.650480601033124,-0.588308316292568,1.30598816866554,0.3497,0.652954
246.50505050505,-534583076.112285,-540961851.725527,1901.16755059328,1034.65729054073,-60139.0673644242,0.000900646300925434,3.50359777741207,-0.0790859311531974,0.650645387893318,-0.588462755443755,1.30592103721832,0.349703888004159,0.652943153422231
247.010101010101,-534728382.229745,-541103205.245186,1900.34780160082,1034.68314161799,-60161.7755757589,0.00092466878359927,3.50581857538504,-0.0790298149120566,0.650809927679007,-0.588616964574713,1.30585407610898,0.349707768179836,0.652932329583545
247.515151515152,-534873602.922289,-541244748.487469,1899.52903444085,1034.70893224907,-60184.4555578404,0.000948651533763404,3.5080377336009,-0.0789737443334398,0.650974221329554,-0.588770944556773,1.30578728455685,0.349711640558755,0.652921528389905
248.020202020202,-535018738.755731,-541386480.075193,1898.71124562898,1034.73466269883,-60207.1074167532,0.000972594705075964,3.51025525801059,-0.0789177192637983,0.651138269778831,-0.588924696256184,1.30572066178642,0.349715505172445,0.652910749747856
248.525252525253,-535163790.295652,-541528398.662468,1897.89443170015,1034.76033323047,-60229.7312579725,0.000996498450286449,3.51247115453379,-0.0788617395503678,0.651302073955261,-0.589078220534155,1.30565420702732,0.349719362052247,0.652899993564515
249.030303030303,-535308758.107158,-541670502.933177,1897.0785892085,1034.78594410548,-60252.3271863694,0.00102036292124297,3.51468542905907,-0.0788058050411626,0.651465634781865,-0.589231518246897,1.30558791951424,0.349723211229311,0.652889259747572
249.535353535354,-535453642.754659,-541812791.599788,1896.26371472721,1034.81149558369,-60274.8953062152,0.00104418826889937,3.51689808744417,-0.0787499155849701,0.651628953176301,-0.589384590245657,1.30552179848694,0.349727052734596,0.652878548205281
250.040404040404,-535598444.801686,-541955263.40242,1895.44980484838,1034.83698792328,-60297.4357211862,0.00106797464332235,3.51910913551618,-0.0786940710313457,0.651792030050908,-0.589537437376764,1.30545584319014,0.349730886598879,0.652867858846458
250.545454545455,-535743164.810727,-542097917.108081,1894.63685618286,1034.86242138077,-60319.9485343682,0.00109172219369844,3.52131857907179,-0.0786382712306073,0.651954866312746,-0.589690060481658,1.30539005287352,0.349734712852747,0.652857191580475
251.050505050505,-535887803.343087,-542240751.510046,1893.8248653601,1034.88779621107,-60342.4338482613,0.00111543106834096,3.52352642387751,-0.0785825160338297,0.652117462863638,-0.589842460396938,1.30532442679169,0.349738531526606,0.652846546317257
251.555555555556,-536032360.958765,-542383765.427343,1893.01382902808,1034.91311266746,-60364.891764784,0.00113910141469688,3.52573267566987,-0.0785268052928396,0.652279820600213,-0.589994637954393,1.30525896420409,0.34974234265068,0.652835922967276
252.060606060606,-536176838.216347,-542526957.704333,1892.20374385307,1034.93837100163,-60387.3223852782,0.00116273337935363,3.52793734015564,-0.0784711388602101,0.652441940413941,-0.59014659398104,1.30519366437502,0.34974614625501,0.652825321441545
252.565656565657,-536321235.672912,-542670327.210364,1891.39460651958,1034.96357146368,-60409.7258105132,0.00118632710804584,3.53014042301205,-0.0784155165892557,0.652603823191179,-0.590298329299164,1.30512852657355,0.349749942369459,0.65281474165162
253.070707070707,-536465553.883946,-542813872.839498,1890.58641373018,1034.98871430212,-60432.1021406904,0.001209882745662,3.53234192988702,-0.0783599383340274,0.652765469813208,-0.590449844726356,1.30506355007349,0.349753731023711,0.652804183509589
253.575757575758,-536609793.403273,-542957593.5103,1889.77916220536,1035.01379976392,-60454.4514754474,0.00123340043625107,3.53454186639931,-0.0783044039493068,0.652926881156271,-0.59060114107554,1.30499873415336,0.349757512247274,0.65279364692807
254.080808080808,-536753954.78299,-543101488.165699,1888.97284868342,1035.03882809449,-60476.7739138623,0.00125688032302904,3.5367402381388,-0.0782489132906018,0.653088058091614,-0.590752219155019,1.30493407809633,0.349761286069482,0.652783131820207
