mu,VN,VCB,m112,m122,m222,lam1,lam2,lam3,lam4,lam5,yt,gp,g
246,-448313776.1116,-465279821.33958,-287.278796234821,2284.61689250189,-43620.1608654825,0.00214463658195923,2.27655092400897,0.0341151084056847,0.432690897151672,-0.279839022180912,1.25331161717174,0.3497,0.652954
246.50505050505,-448403241.014476,-465356887.236682,-287.838738428234,2284.69790433922,-43632.0543334778,0.00215871928911281,2.27742174549152,0.0341605048931913,0.432767285963006,-0.279866726242849,1.25323731842353,0.349703888004159,0.652943153422231
247.010101010101,-448492593.747776,-465433987.057432,-288.397863257229,2284.77874527968,-43643.9290553528,0.00217277548986,2.27829159796129,0.034205837856824,0.432843539744454,-0.279894380055714,1.25316320364814,0.349707768179836,0.652932329583545
247.515151515152,-448581834.764913,-465511120.411722,-288.956173648588,2284.85941604205,-43655.7851021278,0.00218680529005002,2.27916048461173,0.0342511075258504,0.432919659024655,-0.279921983817785,1.2530892720111,0.349711640558755,0.652921528389905
248.020202020202,-448670964.51695,-465588286.914444,-289.513672512653,2284.93991734065,-43667.6225444072,0.00220080879489249,2.28002840861948,0.0342963141282411,0.43299564432909,-0.27994953772615,1.25301552268346,0.349715505172445,0.652910749747856
248.525252525253,-448759983.452588,-465665486.185417,-290.070362743454,2285.02024988529,-43679.4414523829,0.00221478610896257,2.28089537314454,0.03434145789068,0.43307149618011,-0.279977041976714,1.25294195484168,0.349719362052247,0.652899993564515
249.030303030303,-448848892.018171,-465742717.849316,-290.626247218832,2285.1004143814,-43691.2418958374,0.00222873733620612,2.28176138133037,0.034386539038574,0.433147215096951,-0.280004496764213,1.25286856766763,0.349723211229311,0.652889259747572
249.535353535354,-448937690.65768,-465819981.535607,-291.181328800563,2285.18041152999,-43703.0239441474,0.00224266257994469,2.28262643630399,0.0344315577960629,0.43322280159577,-0.280031902282217,1.25279536034855,0.349727052734596,0.652878548205281
250.040404040404,-449026379.812738,-465897276.878472,-291.735610334479,2285.26024202772,-43714.7876662866,0.00225656194288059,2.28349054117613,0.034476514386029,0.433298256189664,-0.280059258723145,1.25272233207695,0.349730886598879,0.652867858846458
250.545454545455,-449114959.922614,-465974603.516753,-292.28909465059,2285.33990656694,-43726.5331308292,0.00227043552710184,2.28435369904132,0.0345214090301067,0.433373579388692,-0.280086566278273,1.25264948205063,0.349734712852747,0.652857191580475
251.050505050505,-449203431.424226,-466051961.093878,-292.841784563201,2285.41940583572,-43738.2604059526,0.00228428343408707,2.28521591297801,0.0345662419486921,0.433448771699906,-0.280113825137741,1.25257680947258,0.349738531526606,0.652846546317257
251.555555555556,-449291794.752148,-466129349.257807,-293.393682871035,2285.49874051786,-43749.9695594409,0.00229810576471037,2.28607718604872,0.0346110133609522,0.43352383362737,-0.280141035490563,1.25250431355099,0.34974234265068,0.652835922967276
252.060606060606,-449380050.33862,-466206767.660959,-293.944792357347,2285.57791129297,-43761.6606586877,0.00231190261924613,2.28693752130011,0.0346557234848345,0.433598765672183,-0.280168197524636,1.25243199349915,0.34974614625501,0.652825321441545
252.565656565657,-449468198.613552,-466284215.960165,-294.495115790042,2285.65691883647,-43773.3337706993,0.00232567409737379,2.28779692176308,0.0347003725370759,0.433673568332505,-0.280195311426751,1.25235984853545,0.349749942369459,0.65281474165162
253.070707070707,-449556240.004534,-466361693.816595,-295.044655921787,2285.73576381965,-43784.9889620977,0.00233942029818258,2.28865539045296,0.0347449607332123,0.43374824210358,-0.280222377382598,1.25228787788331,0.349753731023711,0.652804183509589
253.575757575758,-449644174.93685,-466439200.895708,-295.593415490131,2285.81444690967,-43796.6262991234,0.00235314132017614,2.28951293036954,0.034789488287587,0.433822787477757,-0.280249395576776,1.25221608077116,0.349757512247274,0.65279364692807
254.080808080808,-449732003.833481,-466516736.867191,-296.141397217613,2285.89296876962,-43808.2458476385,0.0023668372612772,2.29036954449721,0.0348339554133604,0.433897204944515,-0.280276366192805,1.25214445643237,0.349761286069482,0.652783131820207
254.585858585859,-449819727.115123,-466594301.404906,-296.688603811876,2285.97133005856,-43819.8476731296,0.00238050821883213,2.29122523580508,0.0348783623225181,0.433971494990481,-0.280303289413127,1.25207300410524,0.349765052519493,0.652772638099666
255.090909090909,-449907345.200193,-466671894.18683,-297.235037965776,2286.04953143151,-43831.4318407106,0.0023941542896155,2.29208000724707,0.0349227092258805,0.434045658099459,-0.280330165419124,1.25200172303293,0.349768811626294,0.652762165680631
