mu,VN,VCB,m112,m122,m222,lam1,lam2,lam3,lam4,lam5,yt,gp,g,gs,nvev1,nvev2,nvev3,cbvev1,cbvev2,cbvev3
612.834170854271,-308852597.711173,-326076425.60056,-30911.5220556432,1339.54645205594,-21765.1186308611,1.68288217160959,0.7240741585704,1.17111304846086,1.12932757457322,-0.797963148964627,0.967316111989902,0.351443256091068,0.64817954920624,1.08932642859726,43.2692530108637,237.421732378487,-2.14425103249726e-15,205.340656485552,41.9240484544757,5.83448902352819e-12
615.346733668342,-309007262.233078,-326219292.475901,-30921.8679908026,1339.64374351963,-21775.1289458313,1.68397337878089,0.724489069587139,1.17198684664987,1.1300540182854,-0.798567209714685,0.967155688783726,0.351451129154237,0.648158382591015,1.08909206128254,43.2470617528388,237.459575450761,6.66764775341206e-17,205.377393296719,41.9139066838652,5.8207661538809e-12
617.859296482412,-309161660.514857,-326362025.641071,-30932.1837850393,1339.74065294137,-21785.1067164357,1.68506170281182,0.724903199352533,1.17285818830957,1.13077840671617,-0.799169615432651,0.966996013967245,0.351458970661705,0.64813730428757,1.08885879926513,43.2250038416493,237.497492804654,5.91177743903903e-15,205.41415118547,41.9037601971681,5.93088714053308e-12
620.371859296482,-309315794.856541,-326504626.57314,-30942.4696552018,1339.8371834233,-21795.0521889778,1.68614716401507,0.725316552033748,1.17372709122441,1.13150075472519,-0.799770377948541,0.96683708098419,0.351466780867525,0.64811631357043,1.08862663280548,43.2031300363931,237.535563159502,1.73994402022711e-15,205.45093008616,41.893609011166,5.81975389842014e-12
622.884422110553,-309469667.686312,-326647096.733838,-30952.7258157005,1339.93333802971,-21804.9656068922,1.68722978247778,0.725729131763387,1.17459357297753,1.13222107700407,-0.800369508959619,0.966678883362221,0.351474560022689,0.648095409722988,1.08839555228922,43.1813796815951,237.573695410697,-1.60645641315229e-14,205.48772993435,41.8834531426343,5.88872290633838e-12
625.396984924623,-309623280.83134,-326789437.569787,-30962.9524785443,1340.02911978771,-21814.8472107889,1.68830957806502,0.726140942639866,1.17545765095377,1.13293938807894,-0.800967020032426,0.966521414711513,0.351482308375172,0.648074592037363,1.08816554822505,43.1596147619877,237.611680400095,-8.39474712483181e-15,205.524550666786,41.8732926083402,6.00359214917436e-12
627.909547738694,-309776636.199273,-326931650.512724,-30973.1498533772,1340.12453168781,-21824.6972384984,1.68938657042307,0.726551988727776,1.17631934234274,1.133655702313,-0.801562922604762,0.966364668723378,0.351490026169983,0.648053859814255,1.08793661124266,43.1379062179997,237.649627610492,-6.91663144530662e-15,205.561392221379,41.8631274250408,5.95237682692671e-12
630.422110552764,-309929735.761876,-327073736.979726,-30983.3181475143,1340.21957668454,-21834.5159251139,1.69046077898272,0.726962274058255,1.17717866414181,1.134370033909,-0.802157227987632,0.966208639168911,0.351497713649212,0.648033212362815,1.08770873209074,43.1162668016537,237.687557842479,-5.73732447337809e-15,205.598254537179,41.8529576094819,5.97065342659396e-12
632.934673366834,-310082581.498329,-327215698.373431,-30993.4575659764,1340.31425769696,-21844.3035030345,1.69153222296251,0.727371802629343,1.17803563315898,1.13508239691165,-0.802749947367156,0.966053319897668,0.351505371052074,0.648012649000498,1.08748190163494,43.0947020464035,237.725480923322,-3.51418710472164e-15,205.635137554364,41.8427831783963,5.93314752702447e-12
635.447236180905,-310235175.382611,-327357536.082244,-31003.5683115251,1340.40857760929,-21854.0602020062,1.69260092137185,0.727780578406335,1.17889026601579,1.13579280521,-0.803341091806445,0.965898704836367,0.351512998614958,0.647992169052945,1.087256110856,43.0732148616135,237.763402713821,-3.24858469389635e-15,205.672041214207,41.8326041485021,5.97207751229535e-12
637.959798994975,-310387519.378451,-327499251.480556,-31013.6505846958,1340.50253927143,-21863.7862491629,1.69366689301415,0.728188605322136,1.17974257915009,1.13650127253981,-0.803930672247437,0.965744787987615,0.351520596571468,0.647971771853838,1.0870313508478,43.0518068956649,237.801327190098,-1.69311451049307e-15,205.708965459069,41.8224205365017,6.01641827012103e-12
640.472361809045,-310539615.436866,-327640845.928942,-31023.7045838316,1340.59614549951,-21873.4818690663,1.69473015648983,0.728595887277604,1.18059258881879,1.13720781248582,-0.804518699512699,0.965591563428669,0.351528165152468,0.647951456744786,1.08680761281552,43.0304790909872,237.839257294417,-2.02078319275006e-15,205.745910232371,41.8122323590797,5.93511266025371e-12
642.984924623116,-310691465.49487,-327782320.774372,-31033.7305051152,1340.68939907643,-21883.147283745,1.69579073019936,0.729002428141892,1.1814403111006,1.13791243848403,-0.8051051843072,0.965439025310213,0.351535704586127,0.647931223075191,1.08658488807382,43.0092319532685,237.877195351224,1.2227609541564e-17,205.782875478579,41.8020396329025,6.00832350844441e-12
645.497487437186,-310843071.47476,-327923677.3504,-31043.7285426012,1340.78230275237,-21892.7827127333,1.6968486323461,0.729408231752788,1.18228576189864,1.13861516382386,-0.805690137220043,0.965287167855164,0.351543215097955,0.647911070202128,1.08636316804502,42.9880656976732,237.915143296761,1.1402961243027e-16,205.819861143182,41.7918423746164,6.14765340687539e-12
648.010050251256,-310994435.283751,-328064916.977367,-31053.6988882471,1340.87485924531,-21902.3883731084,1.69790388093925,0.729813301917044,1.18312895694306,1.13931600165036,-0.806273568726172,0.965135985357498,0.351550696910851,0.64789099749023,1.0861424442574,42.9669803347297,237.953102818003,9.17102708660776e-16,205.856867172681,41.781640600846,5.97784749034721e-12
650.522613065327,-311145558.813819,-328206040.962591,-31063.6417319446,1340.96707124152,-21911.9644795279,1.69895649379665,0.73021764241071,1.18396991179357,1.14001496496633,-0.806855489188047,0.964985472181109,0.351558150245138,0.647871004311562,1.08592270834344,42.9459757236485,237.991075443486,5.18620762963561e-15,205.893893514562,41.7714343281943,6.02196173870251e-12
653.035175879397,-311296443.941681,-328347050.600549,-31073.5572615489,1341.05894139606,-21921.5112442656,1.70000648854751,0.730621256979456,1.18480864184199,1.1407120666344,-0.807435908857278,0.964835622758678,0.351565575318606,0.647851090045512,1.08570395203816,42.925051606667,238.029062607167,6.30953214249429e-15,205.930940117287,41.76122357324,5.97458136417827e-12
