mu              ,VN               ,VCB              ,m112             ,m122            ,m222             ,lam1            ,lam2            ,lam3            ,lam4            ,lam5              ,yt               ,gp               ,g                ,gs              ,nvev1            ,nvev2            ,nvev3                ,cbvev1          ,cbvev2          ,cbvev3
246             ,-588609977.253845,-602680461.52685 ,-63105.0457400936,9490.64430994817,-36384.4863344679,3.82476339274801,1.22675095226323,2.21464267734971,2.34635031569366,-0.621656825537914,1.01083114827615 ,0.3497           ,0.652954         ,1.14572319144708,-43.9760777014659,-242.037403287167,0                    ,161.497816474987,66.4531277383861,-77.5094231658403
248.51256281407 ,-589403973.696837,-603593459.425325,-63221.7633802157,9497.40158103318,-36466.3793943933,3.83846517033487,1.23114984012282,2.22283224347817,2.35248550873544,-0.623980921386461,1.01037385030955 ,0.349719265240186,0.652900263546068,1.14504632129809,-42.3916470084307,-242.345947245113,0.275560486529559    ,180.574251818467,59.0168528821036,-2.77548345538388e-11
251.025125628141,-590333837.186136,-604426710.099214,-63337.9691054603,9504.11042118283,-36547.8389990199,3.85212754538776,1.23553727233308,2.2309935904358 ,2.35859391733921,-0.626296981638709,1.00992189241709 ,0.34973833981386 ,0.652847080731445,1.14437744049488,-42.3916470084307,-242.345947245113,0.275560486529559    ,180.608538045003,58.98848704518  ,6.37641520478384e-14
253.537688442211,-591263995.136143,-605261576.374366,-63453.6724150598,9510.771731853  ,-36628.8732438773,3.86575135800807,1.23991345472906,2.23912728769905,2.36467604787891,-0.628605163828744,1.00947515882506 ,0.349757227488708,0.65279444039337 ,1.14371637482486,-42.3916470084307,-242.345947245113,0.275560486529559    ,180.643885210339,58.9599070675344,-2.307473855053e-14
256.050251256281,-592194491.316671,-606098106.833611,-63568.8825547664,9517.38638902583,-36709.490001582 ,3.8793374264509 ,1.24427858843395,2.24723388961311,2.37073239306849,-0.630905621334042,1.00903353739769 ,0.349775931921536,0.65274233170202 ,1.14306295557148,-42.3916470084307,-242.345947245113,0.275560486529559    ,180.680292067241,58.931113762771 ,1.00352324375151e-12
258.562814070352,-593125368.661421,-606936349.78162 ,-63683.6085260866,9523.95524417485,-36789.6969301419,3.89288654791487,1.24863287000876,2.25531393594503,2.37676343246423,-0.633198503526287,1.0085969194882  ,0.349794456662588,0.652690744147429,1.14241701928844,-42.3916470084307,-242.345947245113,0.275560486529559    ,180.717756870913,58.9021076464898,1.08980018888704e-12
261.075376884422,-594056669.289403,-607776353.253141,-63797.8590950941,9530.47912518434,-36869.5014808732,3.90639949929609,1.25297649159594,2.26336795241139,2.38276963294386,-0.635483955915315,1.00816519979732 ,0.349812805159645,0.652639667527041,1.14177840758535,-42.3916470084307,-242.345947245113,0.275560486529559    ,180.756277473206,58.8728889855806,2.38415336497924e-12
263.587939698492,-594988434.526157,-608618165.022573,-63911.6428008416,9536.95883722574,-36948.9109059525,3.91987703790814,1.25730964105744,2.27139645118202,2.38875144916379,-0.637762120286548,1.00773827623882 ,0.349830980761942,0.652589091933855,1.14114696692409,-42.3916470084307,-242.345947245113,0.275560486529559    ,180.795851400451,58.8434578387231,-4.32859865535318e-12
266.100502512563,-595920704.924688,-609461832.614545,-64024.9679633963,9543.39516359338,-37027.9322656218,3.93331990217005,1.26163250210726,2.27939993136112,2.39470932399564,-0.640033134832279,1.00731604981175 ,0.349848986723891,0.652539007745146,1.14052254842518,-42.3916470084307,-242.345947245113,0.275560486529559    ,180.836475918091,58.8138140898828,7.91009214655229e-12
268.613065326633,-596853520.286069,-610307403.315261,-64137.8426915168,9549.78886650183,-37106.5724350682,3.94672881226381,1.26594525443891,2.28737887944674,2.40064368894314,-0.642297134277134,1.00689842447882 ,0.349866826208628,0.652489405611707,1.13990500768369,-42.3916470084307,-242.345947245113,0.275560486529559    ,180.878148084595,58.7839574761854,-3.74374898458057e-12
271.125628140703,-597786919.679676,-611154924.184396,-64250.2748899925,9556.14068784696,-37184.8381109943,3.96010447076322,1.27024807384795,2.29533376977016,2.40655496454062,-0.644554249998029,1.00648530705079 ,0.349884502291405,0.652440276447604,1.13929420459403,-42.3916470084307,-242.345947245113,0.275560486529559    ,180.920864796611,58.7538876112399,-1.08360992733375e-12
273.638190954774,-598720941.463006,-612004442.067393,-64362.2722666618,9562.45134993273,-37262.735817896 ,3.97344756323544,1.27454113234981,2.3032650649159 ,2.41244356073387,-0.646804610138899,1.00607660707625 ,0.349902017962817,0.652391611420402,1.13869000318324,-42.3916470084307,-242.345947245113,0.275560486529559    ,180.964622826894,58.7236040047537,1.20171208267403e-13
276.150753768844,-599655623.301072,-612856003.608023,-64473.8423391273,9568.72155616543,-37340.2719140645,3.98675875881674,1.2788245982932 ,2.31117321612359,2.41830987724442,-0.649048339720488,1.00567223673682 ,0.349919376131885,0.652343401941836,1.13809227145212,-42.3916470084307,-242.345947245113,0.275560486529559    ,181.009418856273,58.6931060791056,-8.71224316185293e-14
278.663316582915,-600591002.185356,-613709655.261119,-64584.9924411831,9574.95199171729,-37417.4525973248,4.00003871076373,1.28309863646917,2.31905866367252,2.42415430391811,-0.651285560745448,1.00527211074707 ,0.349936579628998,0.652295639658916,1.13750088122393,-42.3916470084307,-242.345947245113,0.275560486529559    ,181.055249500637,58.6623931834085,3.83651882446325e-12
281.175879396985,-601527114.4523  ,-614565443.305388,-64695.7297289688,9581.14332416095,-37494.2839105276,4.01328805698142,1.2873634082162 ,2.32692183724989,2.42997722105867,-0.653516392298982,1.00487614625934 ,0.349953631208732,0.652248316445423,1.13691570800014,-42.3916470084307,-242.345947245113,0.275560486529559    ,181.102111333772,58.631464605488 ,9.12963658385282e-15
283.688442211055,-602463995.801339,-615423413.856251,-64806.0611868643,9587.29620407632,-37570.7717468042,4.02650742052914,1.29161907152125,2.33476315630345,2.43577899974723,-0.655740950645277,1.00448426277275 ,0.349970533552529,0.65220142439379 ,1.13633663082287,-42.3916470084307,-242.345947245113,0.275560486529559    ,181.150000906704,58.6003195821229,-2.48922852657682e-14
286.201005025126,-603401681.312465,-616283612.878643,-64915.9936331393,9593.41126563136,-37646.9218545988,4.03969741010554,1.29586578111728,2.34258303037944,2.44156000214833,-0.657959349319915,1.00409638204653 ,0.349987289271273,0.652154955807348,1.13576353214363,-42.3916470084307,-242.345947245113,0.275560486529559    ,181.198914764091,58.5689573078288,-3.29372776985962e-13
288.713567839196,-604340205.463336,-617146086.199757,-65025.5337253686,9599.48912713804,-37722.739842489 ,4.05285862051376,1.30010368857702,2.35038185944646,2.44732058180318,-0.660171699218481,1.00371242801718 ,0.350003900907742,0.652108903192897,1.13519629769807,-42.3916470084307,-242.345947245113,0.275560486529559    ,181.248849458131,58.5373769424139,-1.48459943114657e-13
