mu              ,VN               ,VCB              ,m112             ,m122             ,m222             ,lam1            ,lam2             ,lam3            ,lam4             ,lam5              ,yt               ,gp               ,g                ,gs              ,nvev1            ,nvev2           ,nvev3                ,cbvev1           ,cbvev2          ,cbvev3
246             ,-406243962.737295,-417824566.649415,-34767.6146120375,-89.6540527312615,-28607.434851066 ,1.5117297173093 ,0.962605831297879,1.24001437703371,0.910556172544214,-0.884742211718006,0.99602110212159 ,0.3497           ,0.652954         ,1.14572319144708,-13.3717670853532,245.636308075608,0                    ,-214.59420911317 ,35.9778264449872,-35.0422097054943
248.51256281407 ,-406606360.242615,-418144289.430008,-34795.7289933553,-89.6637888494251,-28640.359753386 ,1.51401543306542,0.963967666137073,1.24225717840893,0.912158851410584,-0.886312903836935,0.995561937042266,0.349719265240186,0.652900263546068,1.14504632129809,-13.5395855784092,245.622672970037,-0.000693172138032819,-210.381353226772,32.5829264190032,-55.9811986540303
251.025125628141,-406967207.551886,-418456841.12321 ,-34823.6402913361,-89.673422547597 ,-28673.0180290286,1.51628603120581,0.965322368188108,1.24448418276009,0.91375043526555 ,-0.887872773185423,0.995108130465973,0.34973833981386 ,0.652847080731445,1.14437744049488,-13.7092225535156,245.608713440979,-0.00160163287526605 ,-210.444320512592,32.5644721354841,-55.8798695738713
253.537688442211,-407326525.710185,-418768745.581141,-34851.3520910208,-89.6829559608714,-28705.4146479893,1.51854177367753,0.966670040565514,1.24669567195024,0.915331120384171,-0.889422010888707,0.994659566258366,0.349757227488708,0.65279444039337 ,1.14371637482486,-13.8807192971171,245.594420028319,-0.00272732928427909 ,-213.549596420391,32.2245098846431,-42.8745315110693
256.050251256281,-407684335.400047,-419078630.3037  ,-34878.8678791041,-89.6923911588498,-28737.5544386328,1.52078291532076,0.968010784033835,1.24889192003153,0.916901097634871,-0.890960802813353,0.994216131933553,0.349775931921536,0.65274233170202 ,1.14306295557148,-14.0541175038532,245.579782954943,-0.00407218688442506 ,-213.519217830408,32.2141180189797,-43.1977532815682
258.562814070352,-408040656.946585,-419388053.274374,-34906.191047572 ,-89.7017301482761,-28769.4420930889,1.52300970412974,0.969344697079803,1.25107319353676,0.918460552680356,-0.892489329762498,0.993777718504723,0.349794456662588,0.652690744147429,1.14241701928844,-14.2294593008093,245.564792114893,-0.00563812130645511 ,-217.365974525718,31.7984097850054,-15.6426886539382
261.075376884422,-408395510.322753,-419695521.613065,-34933.3248971706,-89.7109748755427,-28801.0821723924,1.52522238150161,0.970671875981773,1.2532397517574 ,0.920009666169166,-0.894007767662015,0.993344220342274,0.349812805159645,0.652639667527041,1.14177840758535,-14.406787271622 ,245.549437060928,-0.00742704837570411 ,-217.97049751547 ,31.721127711784 ,4.61288006734328e-10
263.587939698492,-408748915.154742,-420001635.27638 ,-34960.2726407163,-89.7201272290714,-28832.4791113808,1.52742118247395,0.971992414876526,1.25539184700867,0.921548613918408,-0.895516287738093,0.99291553503901 ,0.349830980761942,0.652589091933855,1.14114696692409,-14.5861444803514,245.533706991464,-0.00944089277268089 ,-218.005731174859,31.704550275018 ,-7.57088973935734e-12
266.100502512563,-409100890.727466,-420306532.734663,-34987.0374062549,-89.7291890415806,-28863.6372233645,1.52960633595157,0.973306405823558,1.25752972488253,0.923077567088134,-0.897015056686722,0.992491563281985,0.349848986723891,0.652539007745146,1.14052254842518,-14.7675744950505,245.517590736881,-0.0116815954131246  ,-218.041133673485,31.6876176386014,-2.10178985709567e-12
268.613065326633,-409451455.990128,-420610236.133644,-35013.6222400786,-89.7381620922414,-28894.5607045813,1.53177806492309,0.974613938866981,1.25965362448911,0.924596692347835,-0.898504236835505,0.992072208730605,0.349866826208628,0.652489405611707,1.13990500768369,-14.9511214109707,245.501076745165,-0.0141511196736591  ,-218.076702493367,31.6703354744096,2.47409782420201e-12
271.125628140703,-409800629.561836,-420912767.062656,-35040.0301096086,-89.7470481087321,-28925.2536384471,1.53393658666804,0.975915102095119,1.26176377868734,0.92610615203547 ,-0.899983986298233,0.991657377900629,0.349884502291405,0.652440276447604,1.13929420459403,-15.1368298733529,245.484153066872,-0.0168514565742958  ,-218.112435167954,31.6527093435123,6.67412875320383e-11
273.638190954774,-410148429.737261,-421214146.573708,-35066.2639061505,-89.7558487691945,-28955.7199996144,1.53608211295469,0.977209981697918,1.26386041430527,0.927606104309441,-0.901454459122596,0.991246980053732,0.349902017962817,0.652391611420402,1.13869000318324,-15.3247450997628,245.466807339361,-0.0197846290151938  ,-218.148329281298,31.6347446996464,-8.04562189519716e-11
276.150753768844,-410494874.492318,-421514395.199746,-35092.3264475279,-89.7645657040995,-28985.9636578484,1.53821485022942,0.978498662022258,1.26594375235071,0.929096703293876,-0.902915805431408,0.990840927092318,0.349919376131885,0.652343401941836,1.13809227145212,-15.5149129019273,245.449026770295,-0.022952695152322   ,-218.184382467168,31.6164468925382,-2.35554090069847e-11
278.663316582915,-410839981.489855,-421813532.972143,-35118.2204806034,-89.773200498025 ,-29015.9883817315,1.54033499979779,0.979781225625253,1.26801400821257,0.930578099217587,-0.904368171557669,0.99043913345927 ,0.349936579628998,0.652295639658916,1.13750088122393,-15.7073797070401,245.430798120349,-0.026357750984926   ,-218.220592408145,31.597821171073 ,-2.87127595108338e-11
281.175879396985,-411183768.085344,-422111579.437441,-35143.9486836901,-89.7817546913531,-29045.7978422036,1.54244275799799,0.981057753325633,1.27007139185355,0.932050438547016,-0.905811700173812,0.990041516042394,0.349953631208732,0.652248316445423,1.13691570800014,-15.9021925784966,245.412107685108,-0.0300019322169563  ,-218.25695683468 ,31.5788726863394,-1.02010220721699e-11
283.688442211055,-411526251.332559,-422408553.673397,-35169.51366886  ,-89.7902297818888,-29075.3956159487,1.54453831636683,0.982328324253291,1.27211610799451,0.933513864113503,-0.907246530415411,0.989647994083269,0.349970533552529,0.65220142439379 ,1.13633663082287,-16.0993992360258,245.392941276109,-0.0338874154447509  ,-218.293473524142,31.5596064945345,4.44040449545829e-11
